1229448,8b20d37d47b52b298444971325218e759b516057,1010200061,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,15:59:39,26,Wednesday
325642,51bfa27b0e2ac48ab66235a2710ac7017e868395,1010300060,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,5:04:16,24,Monday
650152,4b31ec28cb7c5387d6cc496e000bf648f4958667,1010200061,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,16:32:16,25,Tuesday
890397,f3454acc296b349b71691f989f8ab125424687dd,1010200058,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,21:13:01,25,Tuesday
947766,4fbcd70ef742b29834dbce1df4cb723b19273031,1010200052,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,20:07:30,25,Tuesday
393464,22d703608ed8e828aaf55bd8d76d45c7a187f93f,1010300029,SMUSISL3STUDYAREA1,SIS L3 Opposite Escalator,SISL3A5,20:48:53,24,Monday
1689645,d23d166bbac356de784dc9a34eec98759b6649de,1010300064,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,5:30:07,28,Friday
1043800,c427fda1af488e56c415323beadcd07c606a73b3,1010110046,SMUSISB1STUDYAREA,SIS B1 IS Lounge,SISB1A1,10:46:44,26,Wednesday
953545,354dcfcf07a28ebc8851ad7e74809057f0b37a17,1010200059,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,9:54:24,26,Wednesday
1514718,feed955c6fc20629277d4aade6b51b2a0963f976,1010300056,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,18:16:01,27,Thursday
600241,129082f4fcc96d7e0b8e262e83b5ccb7b5eb7a99,1010300067,SMUSISL3STUDYAREA2,SIS L3 Outside GSR3-5,SISL3A3,14:17:02,25,Tuesday
340376,0fae2106dbce2706f41e89fe023923d1c8e0a7b9,1010200066,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,17:32:09,24,Monday
1068765,7ffb2a94fff6e5ec0a079a1995cd931b6ab192db,1010200061,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,11:46:05,26,Wednesday
1736512,6038bf1a8b811727f3e534a8409012eb94a76ea5,1010300060,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,13:47:51,28,Friday
824554,49cba3835ce39bff58d5c1e40e372fdcb4c17e1b,1010500061,SMUSISL5STUDYAREA2,SIS L5 End of Office Stretch,SISL5A2,22:31:21,25,Tuesday
1698259,57cadc2a0a124154dd778fcbe0c9f46c964b1471,1010200062,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,12:07:17,28,Friday
1590333,3837e3d04d23bf57956936c20fcd4f24ee437f44,1010200062,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,22:19:51,27,Thursday
1779750,5733d218fede0a9a791c539f679a19d12d6e308a,1010200043,SMUSISL2STUDYAREA1,SIS L2 Along SRs,SISL2A2,21:32:08,28,Friday
489807,0713b46f2a812bd16b1c2b837b2d69a6af25933e,1010200052,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,19:26:15,24,Monday
446508,d8a97cd8aabf74b976fe4df69f41d55e73ded186,1010500060,SMUSISL5STUDYAREA2,SIS L5 End of Office Stretch,SISL5A2,21:51:33,24,Monday
492746,fa50fce68d8b963e64a69df898a180a0100ecf63,1010200049,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,23:04:05,24,Monday
1701642,db0a27a1fe0eea02fd868a71d77ad0e3be35b131,1010110049,SMUSISB1STUDYAREA,SIS B1 IS Lounge,SISB1A1,12:45:45,28,Friday
947273,71a4fe7b175f160fd5a28c232de36fe425ba725f,1010200061,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,22:06:24,25,Tuesday
1414405,6eaf0b97427047c4399e3c55dcad1507f3b651a9,1010300051,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,15:24:27,27,Thursday
763375,258ed7120cda812adf6c91b58612023c0bf26de1,1010200037,SMUSISL2STUDYAREA1,SIS L2 Along SRs,SISL2A2,17:47:34,25,Tuesday
1411035,f4b685f86d7abd329a7f0f04517dc524eef3c44f,1010300056,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,15:22:23,27,Thursday
1268176,68687fa7098ecc8615c6cbd7e39d246b84538abf,1010300029,SMUSISL3STUDYAREA1,SIS L3 Opposite Escalator,SISL3A5,22:58:58,26,Wednesday
1423510,c516ba126c708b42ccc390c155bdc30c939be6f3,1010110058,SMUSISB1STUDYAREA,SIS B1 IS Lounge,SISB1A1,12:22:27,27,Thursday
1489329,a5db03ff6b8a15215e3f307e6c5e031d841a144f,1010300061,SMUSISL3STUDYAREA2,SIS L3 Along SRs,SISL3A2,17:20:02,27,Thursday
484841,2fddcb2aca969e0f6e2bde2dee1b26c1eaa1f200,1010200066,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,17:12:50,24,Monday
1275523,86400e33e3e87c74e4a440cdfc4c3cd622bb532e,1010110057,SMUSISB1STUDYAREA,SIS B1 IS Lounge,SISB1A1,16:01:32,27,Thursday
653415,0077b4305009fed4b198f9fcfc7d65d14cff5337,1010200061,SMUSISL2STUDYAREA2,SIS L2 Opposite SR2-4,SISL2A3,14:59:39,25,Tuesday
1273082,1fbfb65fe6f38983a5dd3f7b6f81e0a814ddcfcb,1010200052,SMUSISL2STUDYAREA2,SIS L2 Along SRs,SISL2A2,23:48:34,26,Wednesday
